('Factors Affecting the Sense of Scale in Immersive, Realistic Virtual Reality Space', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_1')
('Capsule Network Versus Convolutional Neural Network in Image Classification', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_2')
('Latent GAN: Using a Latent Space-Based GAN for Rapid Forecasting of CFD Models', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_29')
('Data Assimilation in the Latent Space of a Convolutional Autoencoder', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_30')
('Higher-Order Hierarchical Spectral Clustering for Multidimensional Data', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_31')
('Towards Data-Driven Simulation Models for Building Energy Management', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_32')
('Data Assimilation Using Heteroscedastic Bayesian Neural Network Ensembles for Reduced-Order Flame Models', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_33')
('A GPU Algorithm for Outliers Detection in TESS Light Curves', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_34')
('Data-Driven Deep Learning Emulators for Geophysical Forecasting', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_35')
('NVIDIA SimNet™: An AI-Accelerated Multi-Physics Simulation Framework', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_36')
('Analysis of Vortex Induced Vibration of a Thermowell by High Fidelity FSI Numerical Analysis Based on RBF Structural Modes Embedding', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_37')
('Automatic Optimization Method Based on Mesh Morphing Surface Sculpting Driven by Biological Growth Method: An Application to the Coiled Spring Section Shape', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_38')
('Verification, Validation and Uncertainty Quantification of Large-Scale Applications with QCG-PilotJob', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_39')
('Towards a Coupled Migration and Weather Simulation: South Sudan Conflict', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_40')
('Evaluating WRF-BEP/BEM Performance: On the Way to Analyze Urban Air Quality at High Resolution Using WRF-Chem+BEP/BEM', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_41')
('Pathology Dynamics in Healthy-Toxic Protein Interaction and the Multiscale Analysis of Neurodegenerative Diseases', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_42')
('A Semi-implicit Backward Differentiation ADI Method for Solving Monodomain Model', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_43')
('A Deep Learning Approach for Polycrystalline Microstructure-Statistical Property Prediction', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_44')
('MsFEM Upscaling for the Coupled Thermo-Mechanical Problem', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_45')
('MaMiCo: Non-Local Means Filtering with Flexible Data-Flow for Coupling MD and CFD', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_46')
